,Month and Year,Total precipitation (inches),Region,Average temperature (°F)
0,Jan-2000,3.17,Northeast,21.4
1,Feb-2000,2.92,Northeast,27.2
2,Mar-2000,3.62,Northeast,39.1
3,Apr-2000,5.09,Northeast,44.2
4,May-2000,4.81,Northeast,56.6
5,Jun-2000,4.68,Northeast,64.5
6,Jul-2000,4.43,Northeast,65.8
7,Aug-2000,3.71,Northeast,66.2
8,Sep-2000,3.6,Northeast,58.9
9,Oct-2000,2.36,Northeast,49.5
10,Nov-2000,2.75,Northeast,37.7
11,Dec-2000,3.67,Northeast,21.3
12,Jan-2001,1.82,Northeast,22.6
13,Feb-2001,2.29,Northeast,26.0
14,Mar-2001,4.9,Northeast,30.2
15,Apr-2001,1.67,Northeast,45.2
16,May-2001,2.89,Northeast,57.4
17,Jun-2001,4.37,Northeast,65.9
18,Jul-2001,3.06,Northeast,66.7
19,Aug-2001,2.93,Northeast,70.5
20,Sep-2001,3.81,Northeast,60.1
21,Oct-2001,1.93,Northeast,50.6
22,Nov-2001,1.98,Northeast,43.2
23,Dec-2001,2.5,Northeast,34.2
24,Jan-2002,2.33,Northeast,29.6
25,Feb-2002,2.14,Northeast,29.7
26,Mar-2002,3.75,Northeast,34.6
27,Apr-2002,4.08,Northeast,47.0
28,May-2002,4.82,Northeast,53.0
29,Jun-2002,4.91,Northeast,64.6
30,Jul-2002,2.55,Northeast,70.5
31,Aug-2002,2.38,Northeast,70.2
32,Sep-2002,4.39,Northeast,63.4
33,Oct-2002,4.45,Northeast,47.2
34,Nov-2002,4.15,Northeast,36.7
35,Dec-2002,3.7,Northeast,26.0
36,Jan-2003,2.23,Northeast,16.6
37,Feb-2003,3.22,Northeast,20.0
38,Mar-2003,3.23,Northeast,32.9
39,Apr-2003,2.69,Northeast,42.9
40,May-2003,4.61,Northeast,54.0
41,Jun-2003,4.88,Northeast,63.5
42,Jul-2003,4.44,Northeast,69.0
43,Aug-2003,4.89,Northeast,69.8
44,Sep-2003,5.83,Northeast,61.2
45,Oct-2003,5.59,Northeast,47.4
46,Nov-2003,4.24,Northeast,41.6
47,Dec-2003,5.14,Northeast,28.4
48,Jan-2004,2.1,Northeast,15.0
49,Feb-2004,1.8,Northeast,24.0
50,Mar-2004,2.37,Northeast,35.9
51,Apr-2004,4.51,Northeast,45.4
52,May-2004,4.83,Northeast,59.3
53,Jun-2004,3.29,Northeast,62.7
54,Jul-2004,5.88,Northeast,68.1
55,Aug-2004,5.76,Northeast,67.1
56,Sep-2004,5.82,Northeast,61.9
57,Oct-2004,2.29,Northeast,49.0
58,Nov-2004,3.73,Northeast,39.7
59,Dec-2004,3.97,Northeast,27.2
60,Jan-2005,4.07,Northeast,20.9
61,Feb-2005,2.34,Northeast,26.2
62,Mar-2005,3.6,Northeast,29.7
63,Apr-2005,4.97,Northeast,46.8
64,May-2005,3.12,Northeast,51.6
65,Jun-2005,3.39,Northeast,68.2
66,Jul-2005,4.16,Northeast,71.2
67,Aug-2005,3.79,Northeast,70.4
68,Sep-2005,3.04,Northeast,63.7
69,Oct-2005,9.39,Northeast,50.8
70,Nov-2005,4.93,Northeast,40.8
71,Dec-2005,3.43,Northeast,25.3
72,Jan-2006,4.35,Northeast,31.0
73,Feb-2006,2.08,Northeast,26.2
74,Mar-2006,1.33,Northeast,34.0
75,Apr-2006,3.22,Northeast,47.3
76,May-2006,4.65,Northeast,56.2
77,Jun-2006,7.88,Northeast,65.4
78,Jul-2006,4.98,Northeast,71.7
79,Aug-2006,3.95,Northeast,67.6
80,Sep-2006,4.26,Northeast,59.0
81,Oct-2006,6.36,Northeast,48.0
82,Nov-2006,4.28,Northeast,43.1
83,Dec-2006,2.83,Northeast,34.7
84,Jan-2007,3.5,Northeast,26.7
85,Feb-2007,2.26,Northeast,18.0
86,Mar-2007,3.97,Northeast,32.7
87,Apr-2007,5.56,Northeast,42.3
88,May-2007,2.32,Northeast,57.1
89,Jun-2007,3.27,Northeast,65.8
90,Jul-2007,4.07,Northeast,67.9
91,Aug-2007,3.81,Northeast,68.4
92,Sep-2007,2.49,Northeast,62.4
93,Oct-2007,4.61,Northeast,55.4
94,Nov-2007,4.4,Northeast,37.0
95,Dec-2007,4.75,Northeast,26.9
96,Jan-2008,2.27,Northeast,26.3
97,Feb-2008,5.57,Northeast,25.4
98,Mar-2008,4.93,Northeast,31.6
99,Apr-2008,3.43,Northeast,48.2
100,May-2008,2.95,Northeast,53.0
101,Jun-2008,4.79,Northeast,66.8
102,Jul-2008,5.21,Northeast,70.3
103,Aug-2008,3.87,Northeast,65.9
104,Sep-2008,4.84,Northeast,61.4
105,Oct-2008,3.63,Northeast,47.6
106,Nov-2008,3.39,Northeast,37.8
107,Dec-2008,5.59,Northeast,27.9
108,Jan-2009,2.7,Northeast,16.7
109,Feb-2009,1.71,Northeast,26.2
110,Mar-2009,2.48,Northeast,34.0
111,Apr-2009,3.39,Northeast,46.8
112,May-2009,4.68,Northeast,56.0
113,Jun-2009,5.54,Northeast,63.0
114,Jul-2009,5.85,Northeast,66.2
115,Aug-2009,4.94,Northeast,69.1
116,Sep-2009,2.51,Northeast,59.2
117,Oct-2009,5.11,Northeast,46.7
118,Nov-2009,2.9,Northeast,42.9
119,Dec-2009,4.53,Northeast,26.7
120,Jan-2010,2.82,Northeast,23.9
121,Feb-2010,3.06,Northeast,25.9
122,Mar-2010,4.98,Northeast,39.6
123,Apr-2010,2.35,Northeast,50.0
124,May-2010,2.92,Northeast,59.0
125,Jun-2010,4.48,Northeast,66.5
126,Jul-2010,3.87,Northeast,72.4
127,Aug-2010,3.54,Northeast,69.1
128,Sep-2010,3.74,Northeast,62.3
129,Oct-2010,6.17,Northeast,49.6
130,Nov-2010,3.44,Northeast,39.0
131,Dec-2010,3.97,Northeast,24.9
132,Jan-2011,2.21,Northeast,20.3
133,Feb-2011,3.41,Northeast,24.1
134,Mar-2011,4.98,Northeast,33.0
135,Apr-2011,6.33,Northeast,46.2
136,May-2011,5.42,Northeast,58.3
137,Jun-2011,3.94,Northeast,65.6
138,Jul-2011,3.03,Northeast,72.2
139,Aug-2011,8.28,Northeast,68.4
140,Sep-2011,7.22,Northeast,63.2
141,Oct-2011,4.91,Northeast,50.4
142,Nov-2011,3.24,Northeast,43.4
143,Dec-2011,3.7,Northeast,32.7
144,Jan-2012,3.14,Northeast,26.8
145,Feb-2012,1.46,Northeast,30.6
146,Mar-2012,2.14,Northeast,43.4
147,Apr-2012,2.95,Northeast,46.0
148,May-2012,4.62,Northeast,60.5
149,Jun-2012,4.32,Northeast,64.8
150,Jul-2012,3.37,Northeast,72.1
151,Aug-2012,3.84,Northeast,69.6
152,Sep-2012,4.92,Northeast,60.5
153,Oct-2012,5.66,Northeast,51.6
154,Nov-2012,1.1,Northeast,36.5
155,Dec-2012,5.15,Northeast,32.4
156,Jan-2013,2.29,Northeast,25.0
157,Feb-2013,2.56,Northeast,25.3
158,Mar-2013,2.29,Northeast,32.7
159,Apr-2013,2.71,Northeast,45.1
160,May-2013,4.37,Northeast,57.2
