,Game,Total Steam owners (range),Mean Playtime since March 2009 (minutes),Mean Playtime for Last Two Weeks (minutes),Median Playtime since March 2009 (minutes),Median Playtime for Last Two Weeks (minutes)
570,Dota 2,100M-200M,32154,1796,1022,1052
730,Counter-Strike: Global Offensive,100M-200M,27652,1101,8474,446
578080,PLAYERUNKNOWN'S BATTLEGROUNDS,20M-50M,22150,862,9642,292
440,Team Fortress 2,20M-50M,7378,1758,453,217
304930,Unturned,20M-50M,3431,918,374,637
230410,Warframe,20M-50M,8340,883,398,543
271590,Grand Theft Auto V,20M-50M,10714,733,5306,252
359550,Tom Clancy's Rainbow Six Siege,20M-50M,10945,807,2589,205
291550,Brawlhalla,20M-50M,1836,95,193,29
105600,Terraria,20M-50M,6295,881,2548,445
550,Left 4 Dead 2,20M-50M,1738,355,498,476
4000,Garry's Mod,10M-20M,9943,337,1311,134
10,Counter-Strike,10M-20M,16666,407,245,361
340,Half-Life 2: Lost Coast,10M-20M,51,1,21,1
240,Counter-Strike: Source,10M-20M,5780,227,384,84
272060,Serena,10M-20M,509,480,76,960
444090,Paladins,10M-20M,2259,316,479,90
236390,War Thunder,10M-20M,3798,852,321,358
238960,Path of Exile,10M-20M,7074,1956,327,2599
218620,PAYDAY 2,10M-20M,4556,1117,1032,913
49520,Borderlands 2,10M-20M,2609,123,842,105
227940,Heroes & Generals,10M-20M,721,722,79,1186
275390,Guacamelee! Super Turbo Championship Edition,10M-20M,178,1,81,1
1085660,Destiny 2,10M-20M,4718,765,319,418
301520,Robocraft,10M-20M,1384,129,230,129
252950,Rocket League,10M-20M,11005,466,1679,283
291480,Warface,10M-20M,918,62,129,82
219990,Grim Dawn,10M-20M,2602,932,916,1675
252490,Rust,10M-20M,16149,1439,2779,637
220,Half-Life 2,10M-20M,497,139,346,208
360,Half-Life Deathmatch: Source,10M-20M,97,1,12,1
304050,Trove,10M-20M,1797,138,276,222
620,Portal 2,10M-20M,748,84,460,58
550650,Black Squad,10M-20M,1390,115,71,37
433850,Z1 Battle Royale,10M-20M,2643,3,146,3
386360,SMITE,10M-20M,2481,28,146,36
96000,The Tiny Bang Story,5M-10M,297,1,303,1
44350,GRID 2,5M-10M,323,16,147,30
8930,Sid Meier's Civilization V,5M-10M,7435,757,2561,670
80,Counter-Strike: Condition Zero,5M-10M,4023,58,44,58
72850,The Elder Scrolls V: Skyrim,5M-10M,6346,108,3067,118
417910,Street Warriors Online,5M-10M,87,1,59,1
431960,Wallpaper Engine,5M-10M,1925,106,616,14
381210,Dead by Daylight,5M-10M,6932,1157,812,269
292030,The Witcher 3: Wild Hunt,5M-10M,3907,639,1337,172
582010,MONSTER HUNTER: WORLD,5M-10M,9427,456,4602,187
70,Half-Life,5M-10M,263,85,111,50
218230,PlanetSide 2,5M-10M,1052,918,136,945
755790,Ring of Elysium,5M-10M,952,23,129,23
320,Half-Life 2: Deathmatch,5M-10M,192,1,45,1
552990,World of Warships,5M-10M,2308,798,143,839
370910,Kathy Rain,5M-10M,866,30,266,59
477160,Human: Fall Flat,5M-10M,562,88,355,59
439700,Z1 Battle Royale: Test Server,5M-10M,171,0,18,0
273110,Counter-Strike Nexon: Studio,5M-10M,1776,1,112,1
224260,No More Room in Hell,5M-10M,423,81,95,70
333930,Dirty Bomb,5M-10M,465,57,105,57
50,Half-Life: Opposing Force,5M-10M,203,1,59,1
346110,ARK: Survival Evolved,5M-10M,11963,1060,1201,268
227300,Euro Truck Simulator 2,5M-10M,5720,587,1534,108
400,Portal,5M-10M,286,46,175,49
365590,Tom Clancy’s The Division,5M-10M,4977,128,1405,128
203160,Tomb Raider,5M-10M,852,1370,431,1139
278360,A Story About My Uncle,5M-10M,200,56,224,60
130,Half-Life: Blue Shift,5M-10M,79,0,62,0
444200,World of Tanks Blitz,5M-10M,1966,362,185,289
255710,Cities: Skylines,5M-10M,2099,131,662,41
1046930,Dota Underlords,5M-10M,1513,323,310,344
552500,Warhammer: Vermintide 2,5M-10M,2048,137,637,137
500,Left 4 Dead,5M-10M,1092,0,124,0
261550,Mount & Blade II: Bannerlord,5M-10M,2849,674,2104,433
221380,Age of Empires II (2013),5M-10M,2533,196,671,193
300,Day of Defeat: Source,5M-10M,355,0,164,0
438100,VRChat,5M-10M,919,337,63,68
413150,Stardew Valley,5M-10M,2761,203,1390,274
363970,Clicker Heroes,5M-10M,3135,35,359,53
322330,Don't Starve Together,5M-10M,2173,288,530,99
30,Day of Defeat,5M-10M,187,1,24,1
588430,Fallout Shelter,5M-10M,745,97,126,97
10180,Call of Duty: Modern Warfare 2,5M-10M,717,33,386,49
700330,SCP: Secret Laboratory,5M-10M,849,181,54,268
420,Half-Life 2: Episode Two,5M-10M,291,773,263,773
239140,Dying Light,5M-10M,2074,238,1284,342
219640,Chivalry: Medieval Warfare,5M-10M,880,0,267,0
109600,Neverwinter,5M-10M,1604,85,360,85
377160,Fallout 4,5M-10M,4674,274,2251,93
285800,Braveland,5M-10M,900,30,259,60
813820,Realm Royale,5M-10M,346,206,104,206
380,Half-Life 2: Episode One,5M-10M,218,49,193,49
319630,Life is Strange - Episode 1,5M-10M,464,7,146,11
863550,HITMAN 2,5M-10M,777,19,405,1
40,Deathmatch Classic,5M-10M,24,1,16,1
253710,theHunter Classic,5M-10M,380,1,50,1
204360,Castle Crashers,5M-10M,506,70,296,139
208090,Loadout,5M-10M,339,0,176,0
219740,Don't Starve,5M-10M,1635,11,428,11
15700,Oddworld: Abe's Oddysee,5M-10M,240,0,243,0
242760,The Forest,5M-10M,1548,239,963,356
555570,Infestation: The New Z,5M-10M,440,19,62,19
273350,Evolve Stage 2,5M-10M,479,0,189,0
