,Game,Total Steam owners (range),Mean Playtime since March 2009 (minutes),Mean Playtime for Last Two Weeks (minutes),Median Playtime since March 2009 (minutes),Median Playtime for Last Two Weeks (minutes),Region
0,Dota 2,100M-200M,32154,1796,1022,1052,Northern Rockies
1,Counter-Strike: Global Offensive,100M-200M,27652,1101,8474,446,South
2,PLAYERUNKNOWN'S BATTLEGROUNDS,20M-50M,22150,862,9642,292,Ohio Valley
3,Team Fortress 2,20M-50M,7378,1758,453,217,South
4,Unturned,20M-50M,3431,918,374,637,Northwest
5,Warframe,20M-50M,8340,883,398,543,Upper Midwest
6,Grand Theft Auto V,20M-50M,10714,733,5306,252,Upper Midwest
7,Tom Clancy's Rainbow Six Siege,20M-50M,10945,807,2589,205,Upper Midwest
8,Brawlhalla,20M-50M,1836,95,193,29,Ohio Valley
9,Terraria,20M-50M,6295,881,2548,445,Southwest
10,Left 4 Dead 2,20M-50M,1738,355,498,476,Northern Rockies
11,Garry's Mod,10M-20M,9943,337,1311,134,Upper Midwest
12,Counter-Strike,10M-20M,16666,407,245,361,Ohio Valley
13,Half-Life 2: Lost Coast,10M-20M,51,1,21,1,West
14,Counter-Strike: Source,10M-20M,5780,227,384,84,Northwest
15,Serena,10M-20M,509,480,76,960,Southeast
16,Paladins,10M-20M,2259,316,479,90,Southeast
17,War Thunder,10M-20M,3798,852,321,358,Northwest
18,Path of Exile,10M-20M,7074,1956,327,2599,West
19,PAYDAY 2,10M-20M,4556,1117,1032,913,Upper Midwest
20,Borderlands 2,10M-20M,2609,123,842,105,Southwest
21,Heroes & Generals,10M-20M,721,722,79,1186,Northern Rockies
22,Guacamelee! Super Turbo Championship Edition,10M-20M,178,1,81,1,Upper Midwest
23,Destiny 2,10M-20M,4718,765,319,418,Northern Rockies
24,Robocraft,10M-20M,1384,129,230,129,Northern Rockies
25,Rocket League,10M-20M,11005,466,1679,283,Northern Rockies
26,Warface,10M-20M,918,62,129,82,Northeast
27,Grim Dawn,10M-20M,2602,932,916,1675,Southeast
28,Rust,10M-20M,16149,1439,2779,637,South
29,Half-Life 2,10M-20M,497,139,346,208,Northeast
30,Half-Life Deathmatch: Source,10M-20M,97,1,12,1,West
31,Trove,10M-20M,1797,138,276,222,Southeast
32,Portal 2,10M-20M,748,84,460,58,Northeast
33,Black Squad,10M-20M,1390,115,71,37,Northeast
34,Z1 Battle Royale,10M-20M,2643,3,146,3,Northeast
35,SMITE,10M-20M,2481,28,146,36,Southwest
36,The Tiny Bang Story,5M-10M,297,1,303,1,West
37,GRID 2,5M-10M,323,16,147,30,West
38,Sid Meier's Civilization V,5M-10M,7435,757,2561,670,Northern Rockies
39,Counter-Strike: Condition Zero,5M-10M,4023,58,44,58,West
40,The Elder Scrolls V: Skyrim,5M-10M,6346,108,3067,118,Northern Rockies
41,Street Warriors Online,5M-10M,87,1,59,1,West
42,Wallpaper Engine,5M-10M,1925,106,616,14,Southwest
43,Dead by Daylight,5M-10M,6932,1157,812,269,Southeast
44,The Witcher 3: Wild Hunt,5M-10M,3907,639,1337,172,Ohio Valley
45,MONSTER HUNTER: WORLD,5M-10M,9427,456,4602,187,Southeast
46,Half-Life,5M-10M,263,85,111,50,Southwest
47,PlanetSide 2,5M-10M,1052,918,136,945,West
48,Ring of Elysium,5M-10M,952,23,129,23,South
49,Half-Life 2: Deathmatch,5M-10M,192,1,45,1,Ohio Valley
50,World of Warships,5M-10M,2308,798,143,839,Southwest
51,Kathy Rain,5M-10M,866,30,266,59,Southwest
52,Human: Fall Flat,5M-10M,562,88,355,59,Northwest
53,Z1 Battle Royale: Test Server,5M-10M,171,0,18,0,Northeast
54,Counter-Strike Nexon: Studio,5M-10M,1776,1,112,1,Northeast
55,No More Room in Hell,5M-10M,423,81,95,70,West
56,Dirty Bomb,5M-10M,465,57,105,57,West
57,Half-Life: Opposing Force,5M-10M,203,1,59,1,Northwest
58,ARK: Survival Evolved,5M-10M,11963,1060,1201,268,South
59,Euro Truck Simulator 2,5M-10M,5720,587,1534,108,Upper Midwest
60,Portal,5M-10M,286,46,175,49,West
61,Tom Clancy’s The Division,5M-10M,4977,128,1405,128,Southeast
62,Tomb Raider,5M-10M,852,1370,431,1139,Southwest
63,A Story About My Uncle,5M-10M,200,56,224,60,West
64,Half-Life: Blue Shift,5M-10M,79,0,62,0,Northwest
65,World of Tanks Blitz,5M-10M,1966,362,185,289,West
66,Cities: Skylines,5M-10M,2099,131,662,41,West
67,Dota Underlords,5M-10M,1513,323,310,344,West
68,Warhammer: Vermintide 2,5M-10M,2048,137,637,137,Northeast
69,Left 4 Dead,5M-10M,1092,0,124,0,Northwest
70,Mount & Blade II: Bannerlord,5M-10M,2849,674,2104,433,Upper Midwest
71,Age of Empires II (2013),5M-10M,2533,196,671,193,Northern Rockies
72,Day of Defeat: Source,5M-10M,355,0,164,0,Southeast
73,VRChat,5M-10M,919,337,63,68,Upper Midwest
74,Stardew Valley,5M-10M,2761,203,1390,274,Northwest
