"GEO_ID","id",
"NAME","Geographic Area Name",
"CP03_2014_001E","2014 Estimate!!EMPLOYMENT STATUS!!Population 16 years and over",
"CP03_2014_002E","2014 Estimate!!EMPLOYMENT STATUS!!Population 16 years and over!!In labor force",
"CP03_2014_003E","2014 Estimate!!EMPLOYMENT STATUS!!Population 16 years and over!!In labor force!!Civilian labor force",
"CP03_2014_004E","2014 Estimate!!EMPLOYMENT STATUS!!Population 16 years and over!!In labor force!!Civilian labor force!!Employed",
"CP03_2014_005E","2014 Estimate!!EMPLOYMENT STATUS!!Population 16 years and over!!In labor force!!Civilian labor force!!Unemployed",
"CP03_2014_006E","2014 Estimate!!EMPLOYMENT STATUS!!Population 16 years and over!!In labor force!!Armed Forces",
"CP03_2014_007E","2014 Estimate!!EMPLOYMENT STATUS!!Population 16 years and over!!Not in labor force",
"CP03_2014_008E","2014 Estimate!!EMPLOYMENT STATUS!!Civilian labor force",
"CP03_2014_009E","2014 Estimate!!EMPLOYMENT STATUS!!Civilian labor force!!Unemployment Rate",
"CP03_2014_010E","2014 Estimate!!EMPLOYMENT STATUS!!Females 16 years and over",
"CP03_2014_011E","2014 Estimate!!EMPLOYMENT STATUS!!Females 16 years and over!!In labor force",
"CP03_2014_012E","2014 Estimate!!EMPLOYMENT STATUS!!Females 16 years and over!!In labor force!!Civilian labor force",
"CP03_2014_013E","2014 Estimate!!EMPLOYMENT STATUS!!Females 16 years and over!!In labor force!!Civilian labor force!!Employed",
"CP03_2014_014E","2014 Estimate!!EMPLOYMENT STATUS!!Own children of the householder under 6 years",
"CP03_2014_015E","2014 Estimate!!EMPLOYMENT STATUS!!Own children of the householder under 6 years!!All parents in family in labor force",
"CP03_2014_016E","2014 Estimate!!EMPLOYMENT STATUS!!Own children of the householder 6 to 17 years",
"CP03_2014_017E","2014 Estimate!!EMPLOYMENT STATUS!!Own children of the householder 6 to 17 years!!All parents in family in labor force",
"CP03_2014_018E","2014 Estimate!!COMMUTING TO WORK!!Workers 16 years and over",
"CP03_2014_019E","2014 Estimate!!COMMUTING TO WORK!!Workers 16 years and over!!Car, truck, or van -- drove alone",
"CP03_2014_020E","2014 Estimate!!COMMUTING TO WORK!!Workers 16 years and over!!Car, truck, or van -- carpooled",
